,moodle_course_id,siscad_disciplina_nome,disciplina_nome
0,53665.0,LITERATURA BRASILEIRA I,LITERATURA BRASILEIRA I
1,53668.0,METODOLOGIAS ATIVAS E TECNOLOGIAS DIGITAIS,METODOLOGIAS ATIVAS E TECNOLOGIAS DIGITAIS
2,53682.0,FUNDAMENTOS DA EDUCAÇÃO,FUNDAMENTOS DA EDUCAÇÃO
3,53683.0,"PROCESSOS DE LEITURA, PRODUÇÃO E ANÁLISE DE TEXTOS MULTIMODAIS","PROCESSOS DE LEITURA, PRODUÇÃO E ANÁLISE DE TEXTOS MULTIMODAIS"
4,53684.0,TEORIAS DO DESENVOLVIMENTO E DA APRENDIZAGEM,TEORIAS DO DESENVOLVIMENTO E DA APRENDIZAGEM
5,53685.0,"EDUCAÇÃO, LUDICIDADE E BRINCADEIRAS","EDUCAÇÃO, LUDICIDADE E BRINCADEIRAS"
6,53686.0,"EAD, MÍDIAS E TECNOLOGIAS DIGITAIS","EAD, MÍDIAS E TECNOLOGIAS DIGITAIS"
7,53687.0,FUNDAMENTOS DA ECONOMIA,FUNDAMENTOS DA ECONOMIA
8,53688.0,PLANEJAMENTO ESTRATÉGICO DE NEGÓCIOS,PLANEJAMENTO ESTRATÉGICO DE NEGÓCIOS
9,53688.0,PLANEJAMENTO ESTRATÉGICO DE NEGÓCIOS,PLANEJAMENTO ESTRATÉGICO DE NEGÓCIOS
10,53689.0,GESTÃO ESTRATÉGICA DE PESSOAS,GESTÃO ESTRATÉGICA DE PESSOAS
11,53690.0,MATEMÁTICA FINANCEIRA,MATEMÁTICA FINANCEIRA
12,53691.0,"GESTÃO CONTÁBIL, DE CUSTOS E DE PREÇOS","GESTÃO CONTÁBIL, DE CUSTOS E DE PREÇOS"
13,53692.0,INGLÊS,INGLÊS
14,53693.0,ADMINISTRAÇÃO DE PRODUÇÃO E OPERAÇÕES,ADMINISTRAÇÃO DE PRODUÇÃO E OPERAÇÕES
15,53694.0,LEITURA E PRODUÇÃO DE TEXTOS,LEITURA E PRODUÇÃO DE TEXTOS
16,53695.0,GESTÃO FINANCEIRA,GESTÃO FINANCEIRA
17,53696.0,"ÉTICA, CIDADANIA E SOCIEDADE","ÉTICA, CIDADANIA E SOCIEDADE"
18,53697.0,PROJETO INTEGRADOR II,PROJETO INTEGRADOR II
19,53698.0,PRÁTICAS DE PROCESSOS ORGANIZACIONAIS II,PRÁTICAS DE PROCESSOS ORGANIZACIONAIS II
20,53699.0,COMPORTAMENTO ORGANIZACIONAL,COMPORTAMENTO ORGANIZACIONAL
21,53700.0,,GESTÃO MERCADOLÓGICA
22,53701.0,ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO,ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO
23,53702.0,PRÁTICAS DE PROCESSOS ORGANIZACIONAIS I,PRÁTICAS DE PROCESSOS ORGANIZACIONAIS I
24,53703.0,FUNDAMENTOS DA ADMINISTRAÇÃO,FUNDAMENTOS DA ADMINISTRAÇÃO
25,53704.0,PLANEJAMENTO ESTRATÉGICO,PLANEJAMENTO ESTRATÉGICO
26,53705.0,MATEMÁTICA BÁSICA,MATEMÁTICA BÁSICA
27,53706.0,ADMINISTRAÇÃO DE MATERIAIS E LOGÍSTICA,ADMINISTRAÇÃO DE MATERIAIS E LOGÍSTICA
28,53707.0,GESTÃO DE INOVAÇÃO E DESENVOLVIMENTO DE PRODUTOS,GESTÃO DE INOVAÇÃO E DESENVOLVIMENTO DE PRODUTOS
29,53708.0,PROJETO INTEGRADOR III,PROJETO INTEGRADOR III
