"moodle_course_id","disciplina_nome"
53665,LITERATURA BRASILEIRA I
53668,METODOLOGIAS ATIVAS E TECNOLOGIAS DIGITAIS
53682,FUNDAMENTOS DA EDUCAÇÃO
53683,"PROCESSOS DE LEITURA, PRODUÇÃO E ANÁLISE DE TEXTOS MULTIMODAIS"
53684,TEORIAS DO DESENVOLVIMENTO E DA APRENDIZAGEM
53685,"EDUCAÇÃO, LUDICIDADE E BRINCADEIRAS"
53686,"EAD, MÍDIAS E TECNOLOGIAS DIGITAIS"
53687,FUNDAMENTOS DA ECONOMIA
53688,PLANEJAMENTO ESTRATÉGICO DE NEGÓCIOS
53689,GESTÃO ESTRATÉGICA DE PESSOAS
53690,MATEMÁTICA FINANCEIRA
53691,"GESTÃO CONTÁBIL, DE CUSTOS E DE PREÇOS"
53692,INGLÊS
53693,ADMINISTRAÇÃO DE PRODUÇÃO E OPERAÇÕES
53694,LEITURA E PRODUÇÃO DE TEXTOS
53695,GESTÃO FINANCEIRA
53696,"ÉTICA, CIDADANIA E SOCIEDADE"
53697,PROJETO INTEGRADOR II
53698,PRÁTICAS DE PROCESSOS ORGANIZACIONAIS II
53699,COMPORTAMENTO ORGANIZACIONAL
53700,GESTÃO MERCADOLÓGICA
53701,ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO
53702,PRÁTICAS DE PROCESSOS ORGANIZACIONAIS 
